1	Bing Crosby	White Christmas	1942
2	Bryan Adams	(Everything I Do) I Do it For You	1991
3	Whitney Houston	I Will Always Love You	1992
4	Bill Haley & his Comets	Rock Around the Clock	1955
5	Celine Dion	My Heart Will Go On	1998
6	The Beatles	Hey Jude	1968
7	Sinead O'Connor	Nothing Compares 2 U	1990
8	Pink Floyd	Another Brick in the Wall (part 2)	1980
9	Irene Cara	Flashdance... What a Feeling	1983
10	Elton John	Candle in the Wind '97	1997
11	Bee Gees	Stayin' Alive	1978
12	Cher	Believe	1998
13	Kim Carnes	Bette Davis Eyes	1981
14	Usher	Yeah!	2004
15	Coolio	Gangsta's Paradise	1995
16	Lady GaGa	Poker Face	2009
17	Eminem	Lose Yourself	2002
18	The Police	Every Breath You Take	1983
19	George Harrison	My Sweet Lord	1971
20	The Beatles	I Want to Hold Your Hand	1964
21	The Rolling Stones	(I Can't Get No) Satisfaction	1965
22	The Beatles	Let it Be	1970
23	Rihanna & Jay-Z	Umbrella	2007
24	Leona Lewis	Bleeding Love	2008
25	Bobby Darin	Mack the Knife	1959
26	P Diddy & Faith Evans	I'll Be Missing You	1997
27	Michael Jackson	Billie Jean	1983
28	Procol Harum	A Whiter Shade of Pale	1967
29	Abba	Dancing Queen	1976
30	Britney Spears	Baby One More Time	1999
31	Roy Orbison	Oh, Pretty Woman	1964
32	Spice Girls	Wannabe	1996
33	The Black Eyed Peas	I Gotta Feeling	2009
34	Stevie Wonder	I Just Called to Say I Love You	1984
35	USA For Africa	We Are the World	1985
36	Hanson	Mmmbop	1997
37	John Travolta & Olivia Newton-John	You're the One That I Want	1978
38	Judy Garland	Over the Rainbow	1939
39	Los Del Rio	Macarena	1996
40	George Michael	Careless Whisper	1984
41	Queen	Bohemian Rhapsody	1976
42	John Lennon	Imagine	1971
43	Eminem	Without Me	2002
44	The Village People	YMCA	1978
45	Survivor	Eye of the Tiger	1982
46	Mungo Jerry	In the Summertime	1970
47	Ace of Base	The Sign	1994
48	Elvis Presley	Are You Lonesome Tonight?	1960
49	No Doubt	Don't Speak	1997
50	UB40	Can't Help Falling in Love	1993
51	Shakira & Wyclef Jean	Hips don't lie	2006
52	Kylie Minogue	Can't Get You Out of My Head	2001
53	Barbra Streisand	A Woman in Love	1980
54	Madonna	Like a Prayer	1989
55	OutKast	Hey Ya!	2003
56	Blondie	Heart of Glass	1979
57	50 Cent	In Da Club	2003
58	The Black Eyed Peas	Where is the Love?	2003
59	Elvis Presley	It's Now Or Never	1960
60	Madonna	Vogue	1990
61	All-4-One	I Swear	1994
62	Elvis Presley	Jailhouse Rock	1957
63	Katy Perry	I Kissed A Girl	2008
64	Ricky Martin	Livin' La Vida Loca	1999
65	Bruce Springsteen	Streets of Philadelphia	1994
66	Madonna	Hung Up	2005
67	Justin Timberlake	Sexyback	2006
68	Carl Douglas	Kung Fu Fighting	1974
69	Vaughn Monroe	(Ghost) Riders in the Sky	1949
70	Joan Jett & The Blackhearts	I Love Rock 'n' Roll	1982
71	Archies	Sugar Sugar	1969
72	Culture Club	Karma Chameleon	1983
73	Glenn Miller	In the Mood	1940
74	The Beatles	Get Back	1969
75	The Fugees	Killing Me Softly With His Song	1996
76	Terry Jacks	Seasons in the Sun	1974
77	Shakira	Whenever, Wherever	2002
78	The Beatles	She Loves You	1964
79	The Rolling Stones	Angie	1973
80	Boyz II Men	End of the Road	1992
81	Aerosmith	I Don't Want to Miss a Thing	1998
82	Lou Bega	Mambo No 5 (A Little Bit of ...)	1999
83	Phil Collins	Another Day in Paradise	1989
84	Frank Sinatra	Strangers in the Night	1966
85	Flo-Rida & T-Pain	Low	2008
86	The Monkees	I'm a Believer	1967
87	Chic	Le Freak	1979
88	Mary Hopkin	Those Were the Days	1968
89	Chubby Checker	The Twist	1960
90	Nelly & Kelly Rowland	Dilemma	2002
91	Nat King Cole	Mona Lisa	1950
92	Eagles	Hotel California	1977
93	Bee Gees	Night Fever	1978
94	Tony Orlando & Dawn	Tie a Yellow Ribbon 'round the Old Oak Tree	1973
95	Boney M	Rivers of Babylon	1978
96	The Righteous Brothers	Unchained Melody	1965
97	Rob Thomas & Santana	Smooth	1999
98	John Lennon	(Just Like) Starting Over	1980
99	Bryan Adams, Rod Stewart & Sting	All For Love	1994
100	Lady GaGa	Bad Romance	2009
101	Doris Day	Que sera sera (Whatever will be will be)	1956
102	Fergie	Big Girls Don't Cry	2007
103	Brandy & Monica	The Boy is Mine	1998
104	Bing Crosby	Swinging On a Star	1944
105	Rihanna & Calvin Harris	We Found Love	2011
106	The Pussycat Dolls	Don't Cha	2005
107	Madonna	Music	2000
108	Prince	When Doves Cry	1984
109	The Beatles	Help!	1965
110	Nirvana	Smells Like Teen Spirit	1992
111	Timbaland & OneRepublic	Apologize	2007
112	Michael Jackson	Black Or White	1991
113	Culture Club	Do You Really Want to Hurt Me?	1982
114	Whitney Houston	I Wanna Dance With Somebody (Who Loves Me)	1987
115	A-Ha	Take On Me	1985
116	Nickelback	How You Remind Me	2002
117	Shocking Blue	Venus	1970
118	Christina Aguilera, Lil' Kim, Mya & Pink	Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)	2001
119	Ben E King	Stand By Me	1961
120	Diana Ross	Upside Down	1980
121	Beyonce	Crazy in Love	2003
122	Blondie	Call Me	1980
123	The Beatles	All You Need is Love	1967
124	Sean Kingston	Beautiful Girls	2007
125	Ke$ha	Tik-Toc	2010
126	Gloria Gaynor	I Will Survive	1979
127	Las Ketchup	The Ketchup Song (Asereje)	2002
128	Chicago	If You Leave Me Now	1976
129	Snow	Informer	1993
130	Rick Astley	Never Gonna Give You Up	1987
131	Aqua	Barbie Girl	1997
132	t.A.T.u.	All the Things She Said	2003
133	Paul McCartney & Stevie Wonder	Ebony & Ivory	1982
134	Meat Loaf	I'd Do Anything For Love (But I Won't Do That)	1993
135	TLC	No Scrubs	1999
136	Elton John & Kiki Dee	Don't Go Breaking My Heart	1976
137	Ace of Base	All That She Wants	1993
138	Gnarls Barkley	Crazy	2006
139	Eiffel 65	Blue (Da Ba Dee)	1999
140	Don McLean	American Pie	1972
141	The Beatles	Yesterday	1965
142	Take That	Back For Good	1995
143	Simon & Garfunkel	Bridge Over Troubled Water	1970
144	James Blunt	You're Beautiful	2005
145	Nancy Sinatra	These Boots Are Made For Walking	1966
146	Patrick Hernandez	Born to Be Alive	1979
147	Michael Jackson	Beat It	1983
148	Chubby Checker	Let's Twist Again	1961
149	Starsound	Stars On 45	1981
150	Percy Faith	Theme From 'A Summer Place'	1960
151	David Guetta & Akon	Sexy Chick (sexy Bitch)	2009
152	Bing Crosby & The Andrews Sisters	Don't Fence Me In	1944
153	Mariah Carey	Without You	1994
154	Ray Charles	I Can't Stop Loving You	1962
155	Boyz II Men	I'll Make Love to You	1994
156	Berlin	Take My Breath Away	1986
157	Pink	So What	2008
158	The Beatles	Hello, Goodbye	1967
159	Olivia Newton-John	(Let's Get) Physical	1981
160	The Human League	Don't You Want Me	1982
161	U2	Beautiful Day	2000
162	The Animals	House of the Rising Sun	1964
163	George McCrae	Rock Your Baby	1974
164	Lady GaGa & Colby O'Donis	Just Dance	2008
165	Beyonce	Irreplaceable	2006
166	Bee Gees	Tragedy	1979
167	The Beatles	I Feel Fine	1964
168	Avril Lavigne	Girlfriend	2007
169	Los Lobos	La Bamba	1987
170	The Backstreet Boys	I Want it That Way	1999
171	Dinah Shore	Buttons & Bows	1948
172	Band Aid	Do They Know It's Christmas?	1984
173	The Beatles	A Hard Day's Night	1964
